"branch","state","state_lc","year","n"
"Army","Texas","texas",1965,55
"Army","Texas","texas",1966,214
"Army","Texas","texas",1967,382
"Army","Texas","texas",1968,644
"Army","Texas","texas",1969,445
"Army","Texas","texas",1970,280
"Army","Texas","texas",1971,138
"Army","Texas","texas",1972,21
"Army","Utah","utah",1963,2
"Army","Utah","utah",1964,1
"Army","Utah","utah",1965,2
"Army","Utah","utah",1966,17
"Army","Utah","utah",1967,41
"Army","Utah","utah",1968,64
"Army","Utah","utah",1969,58
"Army","Utah","utah",1970,42
"Army","Utah","utah",1971,15
"Army","Utah","utah",1972,3
"Army","Vermont","vermont",1964,1
"Army","Vermont","vermont",1965,1
"Army","Vermont","vermont",1966,7
"Army","Vermont","vermont",1967,12
"Army","Vermont","vermont",1968,19
"Army","Vermont","vermont",1969,18
"Army","Vermont","vermont",1970,6
"Army","Vermont","vermont",1971,4
"Army","Virgin Islands","virgin islands",1965,2
"Army","Virgin Islands","virgin islands",1966,2
"Army","Virgin Islands","virgin islands",1968,3
"Army","Virgin Islands","virgin islands",1969,3
"Army","Virgin Islands","virgin islands",1970,2
"Army","Virgin Islands","virgin islands",1971,1
"Army","Virgin Islands","virgin islands",1972,1
"Army","Virginia","virginia",1963,5
"Army","Virginia","virginia",1964,5
"Army","Virginia","virginia",1965,33
"Army","Virginia","virginia",1966,101
"Army","Virginia","virginia",1967,129
"Army","Virginia","virginia",1968,232
"Army","Virginia","virginia",1969,186
"Army","Virginia","virginia",1970,126
"Army","Virginia","virginia",1971,46
"Army","Virginia","virginia",1972,8
"Army","Washington","washington",1963,2
"Army","Washington","washington",1964,2
"Army","Washington","washington",1965,12
"Army","Washington","washington",1966,59
"Army","Washington","washington",1967,125
"Army","Washington","washington",1968,195
"Army","Washington","washington",1969,114
"Army","Washington","washington",1970,102
"Army","Washington","washington",1971,46
"Army","Washington","washington",1972,7
"Army","West Virginia","west virginia",1964,3
"Army","West Virginia","west virginia",1965,32
"Army","West Virginia","west virginia",1966,52
"Army","West Virginia","west virginia",1967,96
"Army","West Virginia","west virginia",1968,109
"Army","West Virginia","west virginia",1969,118
"Army","West Virginia","west virginia",1970,59
"Army","West Virginia","west virginia",1971,30
"Army","West Virginia","west virginia",1972,4
"Army","Wisconsin","wisconsin",1963,2
"Army","Wisconsin","wisconsin",1964,4
"Army","Wisconsin","wisconsin",1965,17
"Army","Wisconsin","wisconsin",1966,50
"Army","Wisconsin","wisconsin",1967,133
"Army","Wisconsin","wisconsin",1968,210
"Army","Wisconsin","wisconsin",1969,186
"Army","Wisconsin","wisconsin",1970,118
"Army","Wisconsin","wisconsin",1971,40
"Army","Wisconsin","wisconsin",1972,7
"Army","Wyoming","wyoming",1965,2
"Army","Wyoming","wyoming",1966,7
"Army","Wyoming","wyoming",1967,13
"Army","Wyoming","wyoming",1968,25
"Army","Wyoming","wyoming",1969,20
"Army","Wyoming","wyoming",1970,8
"Army","Wyoming","wyoming",1971,9
"Coast Guard","California","california",1966,1
"Coast Guard","Florida","florida",1969,1
"Coast Guard","Idaho","idaho",1969,1
"Coast Guard","Louisiana","louisiana",1969,1
"Coast Guard","Ohio","ohio",1968,1
"Coast Guard","Texas","texas",1966,1
"Coast Guard","Texas","texas",1968,1
"Marine Corps","Alabama","alabama",1965,7
"Marine Corps","Alabama","alabama",1966,38
"Marine Corps","Alabama","alabama",1967,68
"Marine Corps","Alabama","alabama",1968,97
"Marine Corps","Alabama","alabama",1969,50
"Marine Corps","Alabama","alabama",1970,13
"Marine Corps","Alabama","alabama",1971,5
"Marine Corps","Alabama","alabama",1972,1
"Marine Corps","Alaska","alaska",1962,1
"Marine Corps","Alaska","alaska",1967,4
"Marine Corps","Alaska","alaska",1968,3
"Marine Corps","American Samoa","american samoa",1968,2
"Marine Corps","American Samoa","american samoa",1970,1
"Marine Corps","Arizona","arizona",1965,6
"Marine Corps","Arizona","arizona",1966,18
"Marine Corps","Arizona","arizona",1967,38
"Marine Corps","Arizona","arizona",1968,50
"Marine Corps","Arizona","arizona",1969,33
"Marine Corps","Arizona","arizona",1970,9
"Marine Corps","Arizona","arizona",1972,1
"Marine Corps","Arkansas","arkansas",1965,2
"Marine Corps","Arkansas","arkansas",1966,7
"Marine Corps","Arkansas","arkansas",1967,34
"Marine Corps","Arkansas","arkansas",1968,48
"Marine Corps","Arkansas","arkansas",1969,35
"Marine Corps","Arkansas","arkansas",1970,5
"Marine Corps","Arkansas","arkansas",1971,1
"Marine Corps","Arkansas","arkansas",1975,1
"Marine Corps","California","california",1963,1
"Marine Corps","California","california",1964,1
"Marine Corps","California","california",1965,54
"Marine Corps","California","california",1966,195
"Marine Corps","California","california",1967,359
"Marine Corps","California","california",1968,457
"Marine Corps","California","california",1969,288
"Marine Corps","California","california",1970,64
"Marine Corps","California","california",1971,6
"Marine Corps","California","california",1972,4
"Marine Corps","California","california",1973,2
"Marine Corps","California","california",1975,3
"Marine Corps","Colorado","colorado",1965,7
"Marine Corps","Colorado","colorado",1966,28
"Marine Corps","Colorado","colorado",1967,34
"Marine Corps","Colorado","colorado",1968,60
"Marine Corps","Colorado","colorado",1969,32
"Marine Corps","Colorado","colorado",1970,6
"Marine Corps","Colorado","colorado",1971,1
"Marine Corps","Colorado","colorado",1975,1
"Marine Corps","Connecticut","connecticut",1965,10
"Marine Corps","Connecticut","connecticut",1966,25
"Marine Corps","Connecticut","connecticut",1967,48
"Marine Corps","Connecticut","connecticut",1968,71
"Marine Corps","Connecticut","connecticut",1969,38
"Marine Corps","Connecticut","connecticut",1970,8
"Marine Corps","Delaware","delaware",1966,1
"Marine Corps","Delaware","delaware",1967,7
"Marine Corps","Delaware","delaware",1968,17
"Marine Corps","Delaware","delaware",1969,5
"Marine Corps","Delaware","delaware",1970,1
"Marine Corps","Delaware","delaware",1972,1
"Marine Corps","District Of Columbia","district of columbia",1966,5
"Marine Corps","District Of Columbia","district of columbia",1967,13
"Marine Corps","District Of Columbia","district of columbia",1968,27
"Marine Corps","District Of Columbia","district of columbia",1969,20
"Marine Corps","District Of Columbia","district of columbia",1970,3
"Marine Corps","Florida","florida",1964,1
"Marine Corps","Florida","florida",1965,12
"Marine Corps","Florida","florida",1966,56
"Marine Corps","Florida","florida",1967,118
"Marine Corps","Florida","florida",1968,178
"Marine Corps","Florida","florida",1969,88
"Marine Corps","Florida","florida",1970,18
"Marine Corps","Florida","florida",1971,1
"Marine Corps","Florida","florida",1972,1
"Marine Corps","Georgia","georgia",1964,1
"Marine Corps","Georgia","georgia",1965,4
"Marine Corps","Georgia","georgia",1966,25
"Marine Corps","Georgia","georgia",1967,94
"Marine Corps","Georgia","georgia",1968,127
"Marine Corps","Georgia","georgia",1969,65
"Marine Corps","Georgia","georgia",1970,22
"Marine Corps","Georgia","georgia",1971,2
"Marine Corps","Guam","guam",1965,1
"Marine Corps","Guam","guam",1966,1
"Marine Corps","Guam","guam",1967,3
"Marine Corps","Guam","guam",1968,2
"Marine Corps","Guam","guam",1969,3
"Marine Corps","Guam","guam",1970,1
"Marine Corps","Hawaii","hawaii",1965,2
"Marine Corps","Hawaii","hawaii",1966,11
"Marine Corps","Hawaii","hawaii",1967,7
"Marine Corps","Hawaii","hawaii",1968,12
"Marine Corps","Hawaii","hawaii",1969,10
"Marine Corps","Hawaii","hawaii",1971,1
"Marine Corps","Hawaii","hawaii",1972,1
"Marine Corps","Idaho","idaho",1965,2
"Marine Corps","Idaho","idaho",1966,7
"Marine Corps","Idaho","idaho",1967,9
"Marine Corps","Idaho","idaho",1968,17
"Marine Corps","Idaho","idaho",1969,13
"Marine Corps","Idaho","idaho",1970,6
"Marine Corps","Illinois","illinois",1962,1
"Marine Corps","Illinois","illinois",1963,1
"Marine Corps","Illinois","illinois",1964,1
"Marine Corps","Illinois","illinois",1965,38
"Marine Corps","Illinois","illinois",1966,113
"Marine Corps","Illinois","illinois",1967,222
"Marine Corps","Illinois","illinois",1968,267
"Marine Corps","Illinois","illinois",1969,139
"Marine Corps","Illinois","illinois",1970,43
"Marine Corps","Illinois","illinois",1971,7
"Marine Corps","Illinois","illinois",1972,2
"Marine Corps","Indiana","indiana",1965,23
"Marine Corps","Indiana","indiana",1966,53
"Marine Corps","Indiana","indiana",1967,106
"Marine Corps","Indiana","indiana",1968,143
"Marine Corps","Indiana","indiana",1969,78
"Marine Corps","Indiana","indiana",1970,15
"Marine Corps","Indiana","indiana",1971,2
"Marine Corps","Indiana","indiana",1972,1
"Marine Corps","Iowa","iowa",1963,1
"Marine Corps","Iowa","iowa",1965,9
"Marine Corps","Iowa","iowa",1966,25
"Marine Corps","Iowa","iowa",1967,55
"Marine Corps","Iowa","iowa",1968,70
"Marine Corps","Iowa","iowa",1969,34
"Marine Corps","Iowa","iowa",1970,6
"Marine Corps","Iowa","iowa",1975,1
"Marine Corps","Kansas","kansas",1965,10
"Marine Corps","Kansas","kansas",1966,21
"Marine Corps","Kansas","kansas",1967,34
"Marine Corps","Kansas","kansas",1968,50
"Marine Corps","Kansas","kansas",1969,24
"Marine Corps","Kansas","kansas",1970,7
"Marine Corps","Kansas","kansas",1971,1
"Marine Corps","Kansas","kansas",1972,1
"Marine Corps","Kentucky","kentucky",1965,8
"Marine Corps","Kentucky","kentucky",1966,32
"Marine Corps","Kentucky","kentucky",1967,42
"Marine Corps","Kentucky","kentucky",1968,76
"Marine Corps","Kentucky","kentucky",1969,49
"Marine Corps","Kentucky","kentucky",1970,9
"Marine Corps","Kentucky","kentucky",1975,1
"Marine Corps","Louisiana","louisiana",1962,1
"Marine Corps","Louisiana","louisiana",1963,1
"Marine Corps","Louisiana","louisiana",1965,11
"Marine Corps","Louisiana","louisiana",1966,42
"Marine Corps","Louisiana","louisiana",1967,52
"Marine Corps","Louisiana","louisiana",1968,69
"Marine Corps","Louisiana","louisiana",1969,36
"Marine Corps","Louisiana","louisiana",1970,11
"Marine Corps","Louisiana","louisiana",1971,3
"Marine Corps","Louisiana","louisiana",1972,1
"Marine Corps","Maine","maine",1965,2
"Marine Corps","Maine","maine",1966,17
"Marine Corps","Maine","maine",1967,12
"Marine Corps","Maine","maine",1968,34
"Marine Corps","Maine","maine",1969,16
"Marine Corps","Maine","maine",1970,4
"Marine Corps","Maine","maine",1971,1
"Marine Corps","Maryland","maryland",1965,8
"Marine Corps","Maryland","maryland",1966,39
"Marine Corps","Maryland","maryland",1967,84
"Marine Corps","Maryland","maryland",1968,85
"Marine Corps","Maryland","maryland",1969,60
"Marine Corps","Maryland","maryland",1970,15
"Marine Corps","Maryland","maryland",1971,2
"Marine Corps","Maryland","maryland",1972,1
"Marine Corps","Maryland","maryland",1975,1
"Marine Corps","Massachusetts","massachusetts",1964,1
"Marine Corps","Massachusetts","massachusetts",1965,15
"Marine Corps","Massachusetts","massachusetts",1966,63
"Marine Corps","Massachusetts","massachusetts",1967,132
"Marine Corps","Massachusetts","massachusetts",1968,166
"Marine Corps","Massachusetts","massachusetts",1969,79
"Marine Corps","Massachusetts","massachusetts",1970,12
"Marine Corps","Massachusetts","massachusetts",1971,4
"Marine Corps","Massachusetts","massachusetts",1975,1
"Marine Corps","Michigan","michigan",1963,1
"Marine Corps","Michigan","michigan",1965,28
"Marine Corps","Michigan","michigan",1966,81
"Marine Corps","Michigan","michigan",1967,150
"Marine Corps","Michigan","michigan",1968,202
"Marine Corps","Michigan","michigan",1969,119
"Marine Corps","Michigan","michigan",1970,34
"Marine Corps","Michigan","michigan",1971,4
"Marine Corps","Michigan","michigan",1972,1
"Marine Corps","Minnesota","minnesota",1965,9
"Marine Corps","Minnesota","minnesota",1966,37
"Marine Corps","Minnesota","minnesota",1967,57
"Marine Corps","Minnesota","minnesota",1968,86
"Marine Corps","Minnesota","minnesota",1969,38
"Marine Corps","Minnesota","minnesota",1970,9
"Marine Corps","Minnesota","minnesota",1971,6
"Marine Corps","Mississippi","mississippi",1965,3
"Marine Corps","Mississippi","mississippi",1966,10
"Marine Corps","Mississippi","mississippi",1967,24
"Marine Corps","Mississippi","mississippi",1968,40
"Marine Corps","Mississippi","mississippi",1969,25
"Marine Corps","Mississippi","mississippi",1970,9
"Marine Corps","Missouri","missouri",1965,18
"Marine Corps","Missouri","missouri",1966,49
"Marine Corps","Missouri","missouri",1967,82
"Marine Corps","Missouri","missouri",1968,104
"Marine Corps","Missouri","missouri",1969,48
"Marine Corps","Missouri","missouri",1970,24
"Marine Corps","Missouri","missouri",1971,1
"Marine Corps","Missouri","missouri",1972,1
"Marine Corps","Missouri","missouri",1973,1
"Marine Corps","Montana","montana",1965,3
"Marine Corps","Montana","montana",1966,5
"Marine Corps","Montana","montana",1967,14
"Marine Corps","Montana","montana",1968,20
"Marine Corps","Montana","montana",1969,12
"Marine Corps","Montana","montana",1970,3
"Marine Corps","Montana","montana",1971,2
"Marine Corps","Nebraska","nebraska",1965,3
"Marine Corps","Nebraska","nebraska",1966,10
"Marine Corps","Nebraska","nebraska",1967,22
"Marine Corps","Nebraska","nebraska",1968,24
"Marine Corps","Nebraska","nebraska",1969,16
"Marine Corps","Nebraska","nebraska",1970,5
"Marine Corps","Nevada","nevada",1965,1
"Marine Corps","Nevada","nevada",1966,5
"Marine Corps","Nevada","nevada",1967,12
"Marine Corps","Nevada","nevada",1968,13
"Marine Corps","Nevada","nevada",1969,12
"Marine Corps","Nevada","nevada",1970,2
"Marine Corps","New Hampshire","new hampshire",1965,1
"Marine Corps","New Hampshire","new hampshire",1966,7
"Marine Corps","New Hampshire","new hampshire",1967,24
"Marine Corps","New Hampshire","new hampshire",1968,21
"Marine Corps","New Hampshire","new hampshire",1969,10
"Marine Corps","New Hampshire","new hampshire",1970,5
"Marine Corps","New Hampshire","new hampshire",1971,2
"Marine Corps","New Jersey","new jersey",1965,14
"Marine Corps","New Jersey","new jersey",1966,46
"Marine Corps","New Jersey","new jersey",1967,127
"Marine Corps","New Jersey","new jersey",1968,155
"Marine Corps","New Jersey","new jersey",1969,66
"Marine Corps","New Jersey","new jersey",1970,13
"Marine Corps","New Jersey","new jersey",1971,3
"Marine Corps","New Mexico","new mexico",1962,1
"Marine Corps","New Mexico","new mexico",1965,2
"Marine Corps","New Mexico","new mexico",1966,20
"Marine Corps","New Mexico","new mexico",1967,33
"Marine Corps","New Mexico","new mexico",1968,32
"Marine Corps","New Mexico","new mexico",1969,14
"Marine Corps","New Mexico","new mexico",1970,3
"Marine Corps","New Mexico","new mexico",1975,1
"Marine Corps","New York","new york",1962,1
"Marine Corps","New York","new york",1963,1
"Marine Corps","New York","new york",1964,1
"Marine Corps","New York","new york",1965,40
"Marine Corps","New York","new york",1966,138
"Marine Corps","New York","new york",1967,322
"Marine Corps","New York","new york",1968,369
"Marine Corps","New York","new york",1969,187
"Marine Corps","New York","new york",1970,54
"Marine Corps","New York","new york",1971,3
"Marine Corps","New York","new york",1972,4
"Marine Corps","New York","new york",1975,1
"Marine Corps","North Carolina","north carolina",1965,11
"Marine Corps","North Carolina","north carolina",1966,25
"Marine Corps","North Carolina","north carolina",1967,78
"Marine Corps","North Carolina","north carolina",1968,127
"Marine Corps","North Carolina","north carolina",1969,54
"Marine Corps","North Carolina","north carolina",1970,16
"Marine Corps","North Carolina","north carolina",1971,1
"Marine Corps","North Carolina","north carolina",1975,1
"Marine Corps","North Dakota","north dakota",1965,1
"Marine Corps","North Dakota","north dakota",1966,2
"Marine Corps","North Dakota","north dakota",1967,11
"Marine Corps","North Dakota","north dakota",1968,12
"Marine Corps","North Dakota","north dakota",1969,9
"Marine Corps","North Dakota","north dakota",1970,1
"Marine Corps","North Dakota","north dakota",1971,1
"Marine Corps","Ohio","ohio",1963,1
"Marine Corps","Ohio","ohio",1964,1
"Marine Corps","Ohio","ohio",1965,28
"Marine Corps","Ohio","ohio",1966,100
"Marine Corps","Ohio","ohio",1967,228
"Marine Corps","Ohio","ohio",1968,330
"Marine Corps","Ohio","ohio",1969,169
"Marine Corps","Ohio","ohio",1970,43
"Marine Corps","Ohio","ohio",1971,2
"Marine Corps","Oklahoma","oklahoma",1965,3
"Marine Corps","Oklahoma","oklahoma",1966,23
"Marine Corps","Oklahoma","oklahoma",1967,60
"Marine Corps","Oklahoma","oklahoma",1968,83
"Marine Corps","Oklahoma","oklahoma",1969,39
"Marine Corps","Oklahoma","oklahoma",1970,11
"Marine Corps","Oklahoma","oklahoma",1972,1
"Marine Corps","Ontario","ontario",1966,1
"Marine Corps","Oregon","oregon",1965,4
"Marine Corps","Oregon","oregon",1966,31
"Marine Corps","Oregon","oregon",1967,43
"Marine Corps","Oregon","oregon",1968,80
"Marine Corps","Oregon","oregon",1969,32
"Marine Corps","Oregon","oregon",1970,3
"Marine Corps","Oregon","oregon",1971,2
"Marine Corps","Oregon","oregon",1972,1
"Marine Corps","Pennsylvania","pennsylvania",1963,1
"Marine Corps","Pennsylvania","pennsylvania",1964,1
"Marine Corps","Pennsylvania","pennsylvania",1965,33
"Marine Corps","Pennsylvania","pennsylvania",1966,139
"Marine Corps","Pennsylvania","pennsylvania",1967,253
"Marine Corps","Pennsylvania","pennsylvania",1968,348
"Marine Corps","Pennsylvania","pennsylvania",1969,143
"Marine Corps","Pennsylvania","pennsylvania",1970,45
"Marine Corps","Pennsylvania","pennsylvania",1971,7
"Marine Corps","Pennsylvania","pennsylvania",1972,2
"Marine Corps","Pennsylvania","pennsylvania",1975,1
"Marine Corps","Puerto Rico","puerto rico",1966,2
"Marine Corps","Puerto Rico","puerto rico",1967,5
"Marine Corps","Puerto Rico","puerto rico",1968,4
"Marine Corps","Puerto Rico","puerto rico",1969,5
"Marine Corps","Puerto Rico","puerto rico",1970,1
"Marine Corps","Rhode Island","rhode island",1966,7
"Marine Corps","Rhode Island","rhode island",1967,14
"Marine Corps","Rhode Island","rhode island",1968,15
"Marine Corps","Rhode Island","rhode island",1969,11
"Marine Corps","Rhode Island","rhode island",1970,1
"Marine Corps","Rhode Island","rhode island",1971,1
"Marine Corps","Rhode Island","rhode island",2006,1
"Marine Corps","South Carolina","south carolina",1965,1
"Marine Corps","South Carolina","south carolina",1966,25
"Marine Corps","South Carolina","south carolina",1967,52
"Marine Corps","South Carolina","south carolina",1968,70
"Marine Corps","South Carolina","south carolina",1969,29
"Marine Corps","South Carolina","south carolina",1970,9
"Marine Corps","South Dakota","south dakota",1966,5
"Marine Corps","South Dakota","south dakota",1967,8
"Marine Corps","South Dakota","south dakota",1968,14
"Marine Corps","South Dakota","south dakota",1969,4
"Marine Corps","South Dakota","south dakota",1970,1
"Marine Corps","Tennessee","tennessee",1965,7
"Marine Corps","Tennessee","tennessee",1966,38
"Marine Corps","Tennessee","tennessee",1967,82
"Marine Corps","Tennessee","tennessee",1968,112
"Marine Corps","Tennessee","tennessee",1969,60
"Marine Corps","Tennessee","tennessee",1970,14
"Marine Corps","Tennessee","tennessee",1971,1
"Marine Corps","Tennessee","tennessee",1973,2
"Marine Corps","Texas","texas",1963,1
"Marine Corps","Texas","texas",1965,38
"Marine Corps","Texas","texas",1966,111
"Marine Corps","Texas","texas",1967,218
"Marine Corps","Texas","texas",1968,312
"Marine Corps","Texas","texas",1969,148
"Marine Corps","Texas","texas",1970,51
"Marine Corps","Texas","texas",1971,5
"Marine Corps","Texas","texas",1972,1
"Marine Corps","Texas","texas",1975,2
"Marine Corps","Utah","utah",1965,5
"Marine Corps","Utah","utah",1966,7
"Marine Corps","Utah","utah",1967,19
"Marine Corps","Utah","utah",1968,34
"Marine Corps","Utah","utah",1969,16
"Marine Corps","Utah","utah",1970,1
"Marine Corps","Utah","utah",1972,2
"Marine Corps","Vermont","vermont",1966,3
"Marine Corps","Vermont","vermont",1967,3
"Marine Corps","Vermont","vermont",1968,9
"Marine Corps","Vermont","vermont",1969,5
"Marine Corps","Vermont","vermont",1970,2
"Marine Corps","Virgin Islands","virgin islands",1967,1
"Marine Corps","Virginia","virginia",1963,1
"Marine Corps","Virginia","virginia",1965,4
"Marine Corps","Virginia","virginia",1966,28
"Marine Corps","Virginia","virginia",1967,85
"Marine Corps","Virginia","virginia",1968,106
"Marine Corps","Virginia","virginia",1969,67
"Marine Corps","Virginia","virginia",1970,18
"Marine Corps","Virginia","virginia",1971,1
"Marine Corps","Virginia","virginia",1972,2
"Marine Corps","Virginia","virginia",1975,1
"Marine Corps","Washington","washington",1965,5
"Marine Corps","Washington","washington",1966,47
"Marine Corps","Washington","washington",1967,72
"Marine Corps","Washington","washington",1968,79
"Marine Corps","Washington","washington",1969,54
"Marine Corps","Washington","washington",1970,10
"Marine Corps","Washington","washington",1975,1
"Marine Corps","West Virginia","west virginia",1965,9
"Marine Corps","West Virginia","west virginia",1966,21
"Marine Corps","West Virginia","west virginia",1967,42
"Marine Corps","West Virginia","west virginia",1968,58
"Marine Corps","West Virginia","west virginia",1969,40
"Marine Corps","West Virginia","west virginia",1970,10
"Marine Corps","West Virginia","west virginia",1971,1
"Marine Corps","West Virginia","west virginia",1975,1
"Marine Corps","Wisconsin","wisconsin",1965,9
"Marine Corps","Wisconsin","wisconsin",1966,32
"Marine Corps","Wisconsin","wisconsin",1967,83
"Marine Corps","Wisconsin","wisconsin",1968,77
"Marine Corps","Wisconsin","wisconsin",1969,69
"Marine Corps","Wisconsin","wisconsin",1970,12
"Marine Corps","Wisconsin","wisconsin",1971,1
"Marine Corps","Wisconsin","wisconsin",1972,1
"Marine Corps","Wisconsin","wisconsin",2004,1
"Marine Corps","Wyoming","wyoming",1965,3
"Marine Corps","Wyoming","wyoming",1966,3
"Marine Corps","Wyoming","wyoming",1967,8
"Marine Corps","Wyoming","wyoming",1968,5
"Marine Corps","Wyoming","wyoming",1969,2
"Marine Corps","Wyoming","wyoming",1970,2
"Navy","Alabama","alabama",1966,4
"Navy","Alabama","alabama",1967,6
"Navy","Alabama","alabama",1968,6
"Navy","Alabama","alabama",1969,10
"Navy","Alabama","alabama",1970,2
"Navy","Alabama","alabama",1971,1
"Navy","Alabama","alabama",1972,1
"Navy","Alabama","alabama",1975,1
"Navy","Alaska","alaska",1969,5
"Navy","Arizona","arizona",1965,1
"Navy","Arizona","arizona",1966,3
"Navy","Arizona","arizona",1967,11
"Navy","Arizona","arizona",1968,12
"Navy","Arizona","arizona",1969,3
"Navy","Arizona","arizona",1970,9
"Navy","Arizona","arizona",1972,2
"Navy","Arkansas","arkansas",1965,3
"Navy","Arkansas","arkansas",1966,2
"Navy","Arkansas","arkansas",1967,8
"Navy","Arkansas","arkansas",1968,10
"Navy","Arkansas","arkansas",1969,6
"Navy","Arkansas","arkansas",1970,1
"Navy","Arkansas","arkansas",1971,3
"Navy","Arkansas","arkansas",1972,1
"Navy","California","california",1960,1
"Navy","California","california",1963,2
"Navy","California","california",1964,3
"Navy","California","california",1965,26
"Navy","California","california",1966,40
"Navy","California","california",1967,76
"Navy","California","california",1968,68
"Navy","California","california",1969,47
"Navy","California","california",1970,25
"Navy","California","california",1971,11
"Navy","California","california",1972,9
"Navy","California","california",1973,4
"Navy","California","california",1975,1
"Navy","Colorado","colorado",1964,1
"Navy","Colorado","colorado",1965,1
"Navy","Colorado","colorado",1966,3
"Navy","Colorado","colorado",1967,13
"Navy","Colorado","colorado",1968,5
"Navy","Colorado","colorado",1969,5
"Navy","Colorado","colorado",1970,1
"Navy","Colorado","colorado",1972,1
"Navy","Connecticut","connecticut",1964,1
"Navy","Connecticut","connecticut",1965,1
"Navy","Connecticut","connecticut",1966,4
"Navy","Connecticut","connecticut",1967,10
"Navy","Connecticut","connecticut",1969,4
"Navy","Connecticut","connecticut",1970,2
"Navy","Connecticut","connecticut",1972,2
"Navy","Connecticut","connecticut",1973,1
"Navy","Delaware","delaware",1966,1
"Navy","Delaware","delaware",1967,1
"Navy","Delaware","delaware",1968,2
"Navy","Delaware","delaware",1970,1
"Navy","District Of Columbia","district of columbia",1966,2
"Navy","District Of Columbia","district of columbia",1967,1
"Navy","District Of Columbia","district of columbia",1968,1
"Navy","Florida","florida",1964,1
"Navy","Florida","florida",1965,4
"Navy","Florida","florida",1966,7
"Navy","Florida","florida",1967,25
"Navy","Florida","florida",1968,18
"Navy","Florida","florida",1969,8
"Navy","Florida","florida",1970,9
"Navy","Florida","florida",1971,2
"Navy","Florida","florida",1972,3
"Navy","Foreign","foreign",1969,1
"Navy","Georgia","georgia",1963,1
"Navy","Georgia","georgia",1964,1
"Navy","Georgia","georgia",1965,1
"Navy","Georgia","georgia",1966,6
"Navy","Georgia","georgia",1967,14
"Navy","Georgia","georgia",1968,13
"Navy","Georgia","georgia",1969,7
"Navy","Georgia","georgia",1970,2
"Navy","Georgia","georgia",1972,4
"Navy","Guam","guam",1968,1
"Navy","Hawaii","hawaii",1967,1
"Navy","Hawaii","hawaii",1968,5
"Navy","Hawaii","hawaii",1973,1
"Navy","Idaho","idaho",1965,1
"Navy","Idaho","idaho",1966,2
"Navy","Idaho","idaho",1967,3
"Navy","Idaho","idaho",1968,5
"Navy","Illinois","illinois",1960,1
"Navy","Illinois","illinois",1964,1
"Navy","Illinois","illinois",1965,1
"Navy","Illinois","illinois",1966,16
"Navy","Illinois","illinois",1967,33
"Navy","Illinois","illinois",1968,32
"Navy","Illinois","illinois",1969,19
"Navy","Illinois","illinois",1970,10
"Navy","Illinois","illinois",1971,3
"Navy","Illinois","illinois",1972,3
"Navy","Indiana","indiana",1964,1
"Navy","Indiana","indiana",1966,8
"Navy","Indiana","indiana",1967,13
"Navy","Indiana","indiana",1968,19
"Navy","Indiana","indiana",1969,9
"Navy","Indiana","indiana",1970,6
"Navy","Indiana","indiana",1971,1
"Navy","Indiana","indiana",1972,3
"Navy","Indiana","indiana",1973,1
"Navy","Iowa","iowa",1962,1
"Navy","Iowa","iowa",1964,1
"Navy","Iowa","iowa",1965,2
"Navy","Iowa","iowa",1966,5
"Navy","Iowa","iowa",1967,19
"Navy","Iowa","iowa",1968,15
"Navy","Iowa","iowa",1969,4
"Navy","Iowa","iowa",1970,4
"Navy","Iowa","iowa",1971,4
"Navy","Iowa","iowa",1972,3
"Navy","Kansas","kansas",1965,2
"Navy","Kansas","kansas",1966,5
"Navy","Kansas","kansas",1967,10
"Navy","Kansas","kansas",1968,15
"Navy","Kansas","kansas",1969,10
"Navy","Kansas","kansas",1970,4
"Navy","Kansas","kansas",1972,1
"Navy","Kansas","kansas",1973,1
"Navy","Kentucky","kentucky",1966,3
"Navy","Kentucky","kentucky",1967,4
"Navy","Kentucky","kentucky",1968,8
"Navy","Kentucky","kentucky",1969,4
"Navy","Kentucky","kentucky",1970,3
"Navy","Louisiana","louisiana",1964,1
"Navy","Louisiana","louisiana",1965,2
"Navy","Louisiana","louisiana",1966,5
"Navy","Louisiana","louisiana",1967,8
"Navy","Louisiana","louisiana",1968,10
"Navy","Louisiana","louisiana",1969,8
"Navy","Louisiana","louisiana",1970,3
"Navy","Louisiana","louisiana",1971,2
"Navy","Louisiana","louisiana",1972,2
"Navy","Maine","maine",1965,2
"Navy","Maine","maine",1966,3
"Navy","Maine","maine",1967,5
"Navy","Maine","maine",1968,4
"Navy","Maine","maine",1969,3
"Navy","Maine","maine",1970,1
"Navy","Maine","maine",1972,1
"Navy","Maryland","maryland",1966,4
"Navy","Maryland","maryland",1967,10
"Navy","Maryland","maryland",1968,9
"Navy","Maryland","maryland",1969,3
"Navy","Maryland","maryland",1970,3
"Navy","Maryland","maryland",1972,4
"Navy","Maryland","maryland",1973,1
"Navy","Massachusetts","massachusetts",1965,2
"Navy","Massachusetts","massachusetts",1966,7
"Navy","Massachusetts","massachusetts",1967,20
"Navy","Massachusetts","massachusetts",1968,23
"Navy","Massachusetts","massachusetts",1969,13
"Navy","Massachusetts","massachusetts",1970,5
"Navy","Massachusetts","massachusetts",1971,2
"Navy","Massachusetts","massachusetts",1972,8
"Navy","Michigan","michigan",1965,4
"Navy","Michigan","michigan",1966,14
